id,sampledSeconds,traveltime,overlapTraveltime,density,laneDensity,occupancy,waitingTime,timeLoss,speed,speedRelative,departed,arrived,entered,left,laneChangedFrom,laneChangedTo,interval,congestion_level
1210005600,52.96,26.18,26.96,0.05,0.05,0.03,0.0,10.79,10.72,0.77,2,0,0,2,0,0,1,1
1210005702,74.78,5.84,6.23,0.31,0.1,0.05,0.0,10.66,11.54,0.83,0,0,12,12,10,10,1,1
1210006000,65.8,21.33,21.93,0.09,0.04,0.02,0.0,5.46,10.01,0.9,0,0,3,3,1,1,1,1
1210006202,90.59,5.69,6.06,0.32,0.08,0.04,0.0,5.27,13.61,0.98,0,0,15,15,1,1,1,1
1210006302,180.29,6.57,6.96,0.6,0.6,0.28,0.0,12.53,12.73,0.92,1,5,25,21,0,0,1,1
1210029403,18.6,5.9,6.2,0.05,0.03,0.01,0.0,1.43,16.25,0.97,0,3,3,0,0,0,1,1
1210029503,10.85,10.61,11.43,0.03,0.02,0.01,0.0,4.77,8.81,0.53,1,0,0,1,0,0,1,0
1210030001,512.1,14.86,15.52,0.77,0.15,0.07,3.0,64.55,12.16,0.88,0,0,33,33,60,60,1,1
1210030002,610.34,35.58,35.95,0.35,0.09,0.04,0.0,33.15,13.6,0.98,2,1,15,16,4,4,1,1
1210030102,673.02,13.96,14.34,1.01,0.25,0.12,0.0,39.02,13.29,0.96,1,7,46,40,5,5,1,1
1210030103,811.37,33.43,33.81,0.52,0.17,0.09,0.0,41.54,13.03,0.94,0,0,24,24,1,1,1,1
1210030203,60.45,8.48,9.33,0.27,0.09,0.04,0.0,23.51,7.29,0.53,7,0,0,7,14,14,1,0
1210030304,50.2,6.29,7.17,0.23,0.08,0.03,0.0,12.73,9.19,0.66,0,0,7,7,14,14,1,0
1210030501,116.87,6.94,7.32,0.4,0.13,0.06,0.0,17.62,11.71,0.84,0,0,16,16,8,8,1,1
1210030601,159.8,26.66,26.99,0.12,0.02,0.01,0.0,28.32,14.39,0.86,6,0,0,6,0,0,1,1
1210030701,80.84,26.64,26.95,0.05,0.01,0.01,0.0,3.26,16.14,0.97,0,3,3,0,0,0,1,1
1210065000,552.79,32.12,32.52,0.38,0.38,0.19,0.0,28.55,12.72,0.92,0,0,17,17,0,0,1,1
1210065300,60.81,12.08,12.85,0.19,0.09,0.05,0.0,18.8,7.41,0.67,5,0,0,5,0,0,1,0
1210065800,240.85,79.82,80.29,0.08,0.08,0.04,0.0,13.51,10.75,0.97,0,1,3,2,0,0,1,0
1210066200,89.03,12.65,13.13,0.22,0.11,0.05,0.0,15.92,8.9,0.8,5,0,2,7,4,4,1,0
1210067200,90.08,8.76,9.39,0.34,0.34,0.16,0.0,25.86,8.27,0.74,6,1,4,9,0,0,1,0
1210178700,110.95,4.97,5.34,0.52,0.17,0.08,0.0,13.99,12.13,0.87,3,0,18,21,2,2,1,1
1210178800,221.42,10.94,11.65,0.44,0.15,0.07,0.0,16.18,12.3,0.89,0,1,19,18,0,0,1,1
1220002202,1775.82,83.23,84.71,0.91,0.23,0.11,938.0,1074.91,6.48,0.39,4,0,17,21,34,34,1,0
1220002302,2252.41,96.98,98.12,1.15,0.23,0.11,1315.0,1473.5,5.6,0.34,4,0,19,23,50,50,1,0
1220002700,2883.19,50.55,52.03,1.56,0.39,0.19,832.0,1139.34,9.94,0.6,0,1,56,54,53,53,1,0
1220002800,1765.9,33.45,33.8,0.96,0.19,0.09,0.0,93.79,15.3,0.92,0,2,53,49,78,78,1,1
1220003000,272.28,90.63,91.0,0.04,0.01,0.01,0.0,23.31,20.9,0.94,3,0,0,3,0,0,1,1
1220003101,388.48,5.4,5.8,1.31,0.33,0.15,0.0,26.19,15.09,0.9,0,2,67,65,4,4,1,1
1220003102,547.22,8.1,8.43,1.21,0.3,0.15,0.0,32.56,15.44,0.93,1,0,64,65,22,22,1,1
1220003103,318.43,4.72,5.06,1.21,0.3,0.14,0.0,16.36,15.48,0.93,0,1,63,62,6,6,1,1
1220003104,768.78,10.54,10.93,1.32,0.33,0.16,0.0,47.04,15.24,0.91,1,1,70,69,17,17,1,1
1220003201,479.91,5.54,5.87,1.62,0.32,0.15,0.0,40.23,14.91,0.89,3,4,79,78,18,18,1,1
1220003202,727.87,8.27,8.59,1.62,0.32,0.16,0.0,52.72,15.16,0.91,6,0,79,85,33,33,1,1
1220003203,441.82,4.69,5.02,1.67,0.33,0.16,0.0,19.22,15.59,0.94,0,0,88,88,16,16,1,1
1220003204,1206.55,10.62,10.98,2.07,0.3,0.14,0.0,86.54,15.18,0.91,2,5,108,105,62,62,1,1
1220003302,3905.5,39.41,39.85,2.12,0.35,0.17,0.0,200.83,12.95,0.93,0,1,98,97,143,143,1,1
1220003303,1116.32,10.98,11.4,2.23,0.45,0.22,0.0,76.04,12.66,0.91,5,3,94,95,121,121,1,1
1220003402,8300.32,39.54,39.95,4.51,0.75,0.37,0.0,452.37,12.92,0.93,3,7,208,199,608,608,1,1
1220003403,2828.18,13.03,14.0,5.64,0.81,0.38,201.0,662.89,10.31,0.74,2,3,201,199,202,202,1,1
1220003501,320.16,79.41,80.16,0.11,0.11,0.05,0.0,20.6,10.62,0.96,1,0,3,4,0,0,1,0
1220004001,811.48,8.63,9.55,2.9,0.41,0.19,122.0,289.85,8.66,0.62,0,9,85,76,36,36,1,0
1220004002,4120.38,49.07,49.48,1.83,0.3,0.15,0.0,226.67,12.76,0.92,6,1,78,82,235,235,1,1
1220004101,850.34,6.04,6.46,3.04,0.61,0.28,0.0,48.82,12.8,0.92,1,4,131,127,88,88,1,1
1220004102,5720.25,48.17,48.6,2.54,0.42,0.21,0.0,295.85,12.99,0.94,1,1,118,116,528,528,1,1
1220004201,2390.83,34.71,35.17,1.49,0.21,0.1,0.0,127.82,12.83,0.92,2,3,66,65,228,228,1,1
1220004202,279.77,4.0,4.4,1.58,0.26,0.12,0.0,23.16,12.35,0.89,3,3,61,61,7,7,1,1
1220004203,84.42,10.07,10.68,0.23,0.05,0.02,0.0,22.93,10.22,0.74,2,1,6,7,4,4,1,1
1220004302,2869.1,67.42,68.6,5.28,0.75,0.37,2213.0,2398.45,2.27,0.16,5,4,37,38,39,39,1,0
1220004304,2269.04,29.86,30.26,1.63,0.23,0.11,0.0,115.64,12.95,0.93,2,0,73,75,152,152,1,1
1220004305,211.88,4.61,5.04,1.0,0.17,0.08,0.0,11.65,12.68,0.91,0,2,42,40,0,0,1,1
1220004401,167.46,10.96,11.2,0.2,0.05,0.02,0.0,5.42,21.28,0.96,0,6,15,9,0,0,1,1
1220004501,234.65,29.13,29.36,0.11,0.03,0.01,0.0,22.05,19.97,0.9,1,0,7,8,18,18,1,1
1220004502,972.16,25.32,25.59,0.52,0.1,0.05,0.0,47.4,20.57,0.93,1,4,37,34,17,17,1,1
1220004600,224.21,19.84,20.51,0.27,0.27,0.13,0.0,32.27,11.52,0.83,3,1,8,10,0,0,1,1
1220004700,267.25,24.05,24.46,0.24,0.24,0.12,0.0,22.31,12.68,0.91,3,3,8,8,0,0,1,1
1220004801,91.0,97.16,98.25,0.39,0.13,0.07,78.0,86.24,0.7,0.05,1,0,0,1,0,0,1,0
1220004802,24.3,24.41,24.75,0.02,0.01,0.0,0.0,4.39,11.4,0.82,1,0,0,1,0,0,1,1
1220004902,58.4,29.03,29.42,0.05,0.02,0.01,0.0,3.34,11.74,0.85,0,2,2,0,0,0,1,1
1220005401,1125.17,70.01,70.35,0.21,0.04,0.02,0.0,57.75,21.61,0.97,2,2,14,14,12,12,1,1
1220005402,140.21,27.85,28.1,0.07,0.01,0.01,0.0,9.28,19.32,0.87,1,2,4,3,0,0,1,1
1220005502,1020.72,50.6,50.88,0.26,0.05,0.03,0.0,35.64,21.82,0.98,1,1,20,18,22,22,1,1
1220005503,794.49,34.33,34.56,0.3,0.07,0.04,0.0,30.2,21.61,0.97,1,3,22,20,0,0,1,1
1220005601,93.06,15.29,15.51,0.08,0.02,0.01,0.0,10.12,20.43,0.92,0,0,6,6,4,4,1,1
1220005603,135.36,44.87,45.12,0.04,0.01,0.01,0.0,4.19,20.4,0.92,0,1,3,2,0,0,1,1
1220005701,418.55,34.57,34.94,0.17,0.04,0.02,0.0,33.98,20.27,0.91,3,1,9,11,1,1,1,1
1220005703,178.23,29.61,29.83,0.08,0.02,0.01,0.0,20.17,20.22,0.91,3,0,3,6,1,1,1,1
1220010202,158.81,14.99,15.88,0.25,0.12,0.06,0.0,13.27,11.53,0.83,0,0,10,10,5,5,1,1
1220010205,225.54,13.58,14.11,0.38,0.09,0.05,0.0,16.62,12.15,0.87,0,3,16,13,7,7,1,1
1220010206,62.81,3.3,3.78,0.61,0.15,0.07,0.0,25.23,8.9,0.53,2,4,15,13,16,16,1,0
1220010207,326.51,12.58,13.1,0.53,0.13,0.06,0.0,44.33,13.45,0.81,2,3,23,22,17,17,1,1
1220010208,208.19,9.44,10.0,0.53,0.13,0.06,0.0,24.23,11.5,0.83,4,1,17,20,14,14,1,1
1220010302,93.8,13.04,13.4,0.15,0.15,0.07,0.0,4.5,13.67,0.98,0,0,7,7,0,0,1,1
1220010305,90.71,3.97,4.53,0.88,0.22,0.1,0.0,39.84,7.42,0.53,12,1,10,21,21,21,1,0
1220010306,305.73,11.93,12.32,0.51,0.13,0.06,0.0,51.89,13.92,0.83,6,5,19,20,33,33,1,1
1220010307,235.54,8.72,9.09,0.59,0.15,0.07,0.0,24.07,12.65,0.91,2,0,24,26,3,3,1,1
1220010308,2416.97,66.88,68.03,3.92,0.98,0.49,1851.0,2037.67,2.59,0.16,7,0,30,33,23,23,1,0
1220010600,1097.24,71.98,73.28,0.83,0.21,0.1,622.0,704.34,5.09,0.37,2,2,13,13,17,17,1,0
1220010700,388.13,27.37,27.74,0.29,0.07,0.04,0.0,19.5,13.54,0.98,0,3,14,11,12,12,1,1
1220011402,147.81,7.08,7.5,0.44,0.11,0.05,0.0,24.36,13.0,0.78,5,2,15,18,0,0,1,1
1220011403,41.22,3.43,3.75,0.22,0.06,0.03,0.0,3.42,15.07,0.9,0,0,11,11,8,8,1,1
1220011502,187.29,7.86,8.2,0.58,0.14,0.07,0.0,52.16,11.63,0.7,3,0,20,23,0,0,1,1
1220011503,285.43,12.33,13.18,1.48,0.37,0.18,150.0,201.52,4.45,0.27,4,0,18,22,4,4,1,0
1220011802,394.69,39.1,39.47,0.21,0.05,0.03,0.0,17.65,13.57,0.98,0,3,10,7,2,2,1,1
1220011803,92.78,5.8,6.28,0.4,0.08,0.04,0.0,18.33,11.1,0.8,3,1,12,14,12,12,1,1
1220011902,527.74,43.65,44.05,0.28,0.06,0.03,0.0,40.92,12.14,0.87,2,0,10,12,16,16,1,1
1220011903,834.78,43.13,44.48,3.59,0.72,0.35,662.0,736.26,1.57,0.11,2,1,17,17,16,16,1,0
1220012401,826.46,26.08,26.68,0.57,0.14,0.07,0.0,50.37,15.31,0.92,1,2,30,29,32,32,1,1
1220012402,112.26,4.46,4.78,0.58,0.14,0.07,0.0,27.71,12.39,0.74,6,0,18,24,19,19,1,1
1220012501,923.87,26.91,27.24,0.64,0.16,0.08,0.0,84.54,14.82,0.89,7,1,27,33,46,46,1,1
1220012502,655.48,17.6,18.5,3.08,0.77,0.37,397.0,514.79,3.47,0.21,6,0,30,35,6,6,1,0
1220013401,1071.3,52.12,53.61,0.92,0.31,0.15,460.0,566.19,6.13,0.44,1,1,19,19,5,5,1,0
1220013403,1069.13,29.09,29.79,0.98,0.33,0.16,270.0,380.32,10.35,0.62,6,0,30,36,27,27,1,1
1220013404,355.52,9.64,10.18,0.71,0.24,0.11,0.0,33.16,14.16,0.85,2,0,33,35,7,7,1,1
